Category,Yuma
Total_doses_administered,348326
Total_people_one_dose,170999
Total_people_complete,138175
total_pouluation,170999
Male-65 years and older,18017
Male-55-64 years,11186
Male-45-54 years,9722
Male-20-44 years,30257
Male-Less than 20 years,14650
Female-65 years and older,20580
Female-55-64 years,12012
Female-45-54 years,10659
Female-20-44 years,28247
Female-Less than 20 years,14992
"Black or African American, non-Hispanic",889
"American Indian or Alaska Native, non-Hispanic",1245
"Asian or Pacific Islander, non-Hispanic",1273
Other Race,20597
Unknown,30792
"White, non-Hispanic",37505
Hispanic or Latino,78698
