Category,Santa Cruz
Total_doses_administered,124773
Total_people_one_dose,63218
Total_people_complete,48620
total_pouluation,63218
Male-65 years and older,4799
Male-55-64 years,3479
Male-45-54 years,3730
Male-20-44 years,9767
Male-Less than 20 years,8504
Female-65 years and older,5839
Female-55-64 years,3920
Female-45-54 years,4106
Female-20-44 years,10376
Female-Less than 20 years,8601
"American Indian or Alaska Native, non-Hispanic",55
"Black or African American, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3570
Unknown,5575
"White, non-Hispanic",7637
Hispanic or Latino,46136
