Category,Coconino
Total_doses_administered,211571
Total_people_one_dose,93673
Total_people_complete,82631
total_pouluation,93673
Male-65 years and older,8424
Male-55-64 years,6046
Male-45-54 years,5769
Male-20-44 years,17535
Male-Less than 20 years,6831
Female-65 years and older,9417
Female-55-64 years,6725
Female-45-54 years,5743
Female-20-44 years,19991
Female-Less than 20 years,7016
"Black or African American, non-Hispanic",825
"Asian or Pacific Islander, non-Hispanic",1719
Hispanic or Latino,7560
Other Race,8048
Unknown,11394
"American Indian or Alaska Native, non-Hispanic",23913
"White, non-Hispanic",40214
