Category,Cochise
Total_doses_administered,188309
Total_people_one_dose,89983
Total_people_complete,74742
total_pouluation,89983
Male-65 years and older,12055
Male-55-64 years,6021
Male-45-54 years,4784
Male-20-44 years,12890
Male-Less than 20 years,6820
Female-65 years and older,14072
Female-55-64 years,7100
Female-45-54 years,5373
Female-20-44 years,13645
Female-Less than 20 years,7120
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1587
"Black or African American, non-Hispanic",1699
Unknown,10912
Other Race,12718
Hispanic or Latino,27426
"White, non-Hispanic",35253
