Category,Graham
Total_doses_administered,41948
Total_people_one_dose,19080
Total_people_complete,16916
total_pouluation,19080
Male-65 years and older,1994
Male-55-64 years,1359
Male-45-54 years,1311
Male-20-44 years,3243
Male-Less than 20 years,1279
Female-65 years and older,2467
Female-55-64 years,1501
Female-45-54 years,1237
Female-20-44 years,3284
Female-Less than 20 years,1394
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,865
Hispanic or Latino,2823
Unknown,3807
"White, non-Hispanic",5625
"American Indian or Alaska Native, non-Hispanic",5811
