Category,Mohave
Total_doses_administered,201086
Total_people_one_dose,94582
Total_people_complete,79646
total_pouluation,94582
Male-65 years and older,21896
Male-55-64 years,8557
Male-45-54 years,4498
Male-20-44 years,8008
Male-Less than 20 years,2055
Female-65 years and older,23906
Female-55-64 years,9915
Female-45-54 years,5032
Female-20-44 years,8247
Female-Less than 20 years,2286
"Black or African American, non-Hispanic",662
"American Indian or Alaska Native, non-Hispanic",794
"Asian or Pacific Islander, non-Hispanic",1464
Hispanic or Latino,7842
Unknown,11749
Other Race,14846
"White, non-Hispanic",57225
