,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5233507,1495273,16182,88962,123746,44908,16909,7969,15442,1936083,114128,44332,707250,219507,47526,159157,147094
Total_people_one_dose,3007184,827908,9234,52037,68019,24969,9505,4542,8631,1164792,68255,26159,408184,130005,27524,92382,85038
Total_people_complete,2416859,,,,,,,,,,,,,,,,
Total_doses_ordered,4896780,,,,,,,,,,,,,,,,
65 years and older,582055,,,,,,,,,,,,,,,,
55-64 years,295549,,,,,,,,,,,,,,,,
45-54 years,221501,,,,,,,,,,,,,,,,
20-44 years,467694,,,,,,,,,,,,,,,,
Less than 20 years,53730,,,,,,,,,,,,,,,,
65 years and older,1164792,,,,,,,,,,,,,,,,
55-64 years,247507,,,,,,,,,,,,,,,,
45-54 years,193632,,,,,,,,,,,,,,,,
20-44 years,421277,,,,,,,,,,,,,,,,
Less than 20 years,46457,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",68405,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",72187,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",111257,,,,,,,,,,,,,,,,
Hispanic or Latino,393123,,,,,,,,,,,,,,,,
Unknown,409737,,,,,,,,,,,,,,,,
Other Race,511160,,,,,,,,,,,,,,,,
"White, non-Hispanic",1441315,,,,,,,,,,,,,,,,
