Category,Apache
Total_doses_administered,68586
Total_people_one_dose,31586
Total_people_complete,23511
total_pouluation,31586
Male-65 years and older,2923
Male-55-64 years,2116
Male-45-54 years,1715
Male-20-44 years,4172
Male-Less than 20 years,4488
Female-65 years and older,3512
Female-55-64 years,2293
Female-45-54 years,1710
Female-20-44 years,4053
Female-Less than 20 years,4594
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",143
Hispanic or Latino,617
Other Race,1191
Unknown,1193
"White, non-Hispanic",3759
"American Indian or Alaska Native, non-Hispanic",24621
