Category,Arizona
Total_doses_administered,10691778
Total_people_complete,4054393
total_pouluation,7189020
Total_people_one_dose,4914509
Male-65 years and older,591407
Male-55-64 years,342923
Male-45-54 years,310269
Male-20-44 years,779475
Male-Less than 20 years,304162
Female-65 years and older,718146
Female-55-64 years,389792
Female-45-54 years,334028
Female-20-44 years,815128
Female-Less than 20 years,309295
"Black or African American, non-Hispanic",150891
"Asian or Pacific Islander, non-Hispanic",189143
"American Indian or Alaska Native, non-Hispanic",215114
Unknown,443307
Other Race,691835
Hispanic or Latino,946887
"White, non-Hispanic",2277332
