Category,Pinal
Total_doses_administered,570027
Total_people_one_dose,265399
Total_people_complete,226564
total_pouluation,265399
Male-65 years and older,38429
Male-55-64 years,19057
Male-45-54 years,17475
Male-20-44 years,40267
Male-Less than 20 years,14564
Female-65 years and older,44098
Female-55-64 years,21533
Female-45-54 years,17824
Female-20-44 years,37113
Female-Less than 20 years,14299
"Asian or Pacific Islander, non-Hispanic",5513
"Black or African American, non-Hispanic",9872
"American Indian or Alaska Native, non-Hispanic",10620
Unknown,30823
Other Race,32290
Hispanic or Latino,43970
"White, non-Hispanic",132311
