Category,Yavapai
Total_doses_administered,266502
Total_people_one_dose,122009
Total_people_complete,101917
total_pouluation,122009
Male-65 years and older,26836
Male-55-64 years,9470
Male-45-54 years,5233
Male-20-44 years,10784
Male-Less than 20 years,3228
Female-65 years and older,32575
Female-55-64 years,11961
Female-45-54 years,6216
Female-20-44 years,11029
Female-Less than 20 years,3535
"Black or African American, non-Hispanic",615
"American Indian or Alaska Native, non-Hispanic",1505
"Asian or Pacific Islander, non-Hispanic",1529
Hispanic or Latino,8767
Other Race,17902
Unknown,18436
"White, non-Hispanic",73255
