Category,Cochise
Total_doses_administered,183869
Total_people_one_dose,86908
Total_people_complete,69631
total_pouluation,86908
Male-65 years and older,11698
Male-55-64 years,5789
Male-45-54 years,4623
Male-20-44 years,12397
Male-Less than 20 years,6554
Female-65 years and older,13673
Female-55-64 years,6883
Female-45-54 years,5173
Female-20-44 years,13136
Female-Less than 20 years,6880
"American Indian or Alaska Native, non-Hispanic",382
"Asian or Pacific Islander, non-Hispanic",1557
"Black or African American, non-Hispanic",1679
Unknown,10556
Other Race,12369
Hispanic or Latino,26016
"White, non-Hispanic",34349
