Category,La Paz
Total_doses_administered,19350
Total_people_one_dose,9342
Total_people_complete,7651
total_pouluation,9342
Male-65 years and older,2521
Male-55-64 years,653
Male-45-54 years,338
Male-20-44 years,711
Male-Less than 20 years,406
Female-65 years and older,2508
Female-55-64 years,770
Female-45-54 years,387
Female-20-44 years,635
Female-Less than 20 years,394
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",560
Other Race,1224
Hispanic or Latino,1404
Unknown,1922
"White, non-Hispanic",4094
