Category,Coconino
Total_doses_administered,223849
Total_people_one_dose,98827
Total_people_complete,83682
total_pouluation,98827
Male-65 years and older,9695
Male-55-64 years,6533
Male-45-54 years,5979
Male-20-44 years,17888
Male-Less than 20 years,6834
Female-65 years and older,10902
Female-55-64 years,7301
Female-45-54 years,6027
Female-20-44 years,20318
Female-Less than 20 years,7073
"Black or African American, non-Hispanic",843
"Asian or Pacific Islander, non-Hispanic",1810
Hispanic or Latino,7843
Other Race,8980
Unknown,12281
"American Indian or Alaska Native, non-Hispanic",23800
"White, non-Hispanic",43270
