Category,Maricopa
Total_doses_administered,6159050
Total_people_one_dose,2779826
Total_people_complete,2367167
total_pouluation,2779826
Male-65 years and older,295551
Male-55-64 years,194848
Male-45-54 years,189654
Male-20-44 years,459136
Male-Less than 20 years,169928
Female-65 years and older,369339
Female-55-64 years,218890
Female-45-54 years,205294
Female-20-44 years,491012
Female-Less than 20 years,171891
"American Indian or Alaska Native, non-Hispanic",54719
"Black or African American, non-Hispanic",109738
"Asian or Pacific Islander, non-Hispanic",142171
Unknown,188034
Other Race,440921
Hispanic or Latino,484565
"White, non-Hispanic",1359678
