Category,Santa Cruz
Total_doses_administered,127084
Total_people_one_dose,63414
Total_people_complete,46373
total_pouluation,63414
Male-65 years and older,4951
Male-55-64 years,3525
Male-45-54 years,3722
Male-20-44 years,9832
Male-Less than 20 years,8360
Female-65 years and older,6006
Female-55-64 years,3961
Female-45-54 years,4114
Female-20-44 years,10390
Female-Less than 20 years,8456
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",193
Other Race,3683
Unknown,5425
"White, non-Hispanic",8012
Hispanic or Latino,45981
