Category,La Paz
Total_doses_administered,19246
Total_people_one_dose,9362
Total_people_complete,7808
total_pouluation,9362
Male-65 years and older,2532
Male-55-64 years,657
Male-45-54 years,336
Male-20-44 years,720
Male-Less than 20 years,419
Female-65 years and older,2506
Female-55-64 years,766
Female-45-54 years,389
Female-20-44 years,632
Female-Less than 20 years,387
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",568
Other Race,1216
Hispanic or Latino,1419
Unknown,1947
"White, non-Hispanic",4078
