Category,Mohave
Total_doses_administered,204300
Total_people_one_dose,95252
Total_people_complete,80718
total_pouluation,95252
Male-65 years and older,21993
Male-55-64 years,8583
Male-45-54 years,4529
Male-20-44 years,8108
Male-Less than 20 years,2108
Female-65 years and older,24006
Female-55-64 years,9947
Female-45-54 years,5067
Female-20-44 years,8396
Female-Less than 20 years,2333
"Black or African American, non-Hispanic",678
"American Indian or Alaska Native, non-Hispanic",798
"Asian or Pacific Islander, non-Hispanic",1483
Hispanic or Latino,7973
Unknown,11727
Other Race,14895
"White, non-Hispanic",57698
