Category,Graham
Total_doses_administered,42837
Total_people_one_dose,19286
Total_people_complete,17236
total_pouluation,19286
Male-65 years and older,2003
Male-55-64 years,1366
Male-45-54 years,1318
Male-20-44 years,3275
Male-Less than 20 years,1312
Female-65 years and older,2483
Female-55-64 years,1513
Female-45-54 years,1248
Female-20-44 years,3319
Female-Less than 20 years,1438
"Asian or Pacific Islander, non-Hispanic",67
"Black or African American, non-Hispanic",84
Other Race,868
Hispanic or Latino,2875
Unknown,3822
"White, non-Hispanic",5700
"American Indian or Alaska Native, non-Hispanic",5870
