Category,Yavapai
Total_doses_administered,285072
Total_people_one_dose,129241
Total_people_complete,110051
total_pouluation,129241
Male-65 years and older,28608
Male-55-64 years,10084
Male-45-54 years,5528
Male-20-44 years,11393
Male-Less than 20 years,3349
Female-65 years and older,34522
Female-55-64 years,12702
Female-45-54 years,6581
Female-20-44 years,11549
Female-Less than 20 years,3706
"Black or African American, non-Hispanic",657
"American Indian or Alaska Native, non-Hispanic",1556
"Asian or Pacific Islander, non-Hispanic",1670
Hispanic or Latino,9337
Unknown,19012
Other Race,19085
"White, non-Hispanic",77924
