Category,Greenlee
Total_doses_administered,10312
Total_people_one_dose,4518
Total_people_complete,4075
total_pouluation,4518
Male-65 years and older,518
Male-55-64 years,389
Male-45-54 years,337
Male-20-44 years,812
Male-Less than 20 years,247
Female-65 years and older,525
Female-55-64 years,317
Female-45-54 years,336
Female-20-44 years,780
Female-Less than 20 years,255
"Asian or Pacific Islander, non-Hispanic",51
"Black or African American, non-Hispanic",55
Other Race,98
"American Indian or Alaska Native, non-Hispanic",127
Unknown,301
"White, non-Hispanic",1841
Hispanic or Latino,2045
