Category,Navajo
Total_doses_administered,121706
Total_people_one_dose,55679
Total_people_complete,47466
total_pouluation,55679
Male-65 years and older,7787
Male-55-64 years,3928
Male-45-54 years,3013
Male-20-44 years,6862
Male-Less than 20 years,5484
Female-65 years and older,8830
Female-55-64 years,4449
Female-45-54 years,3044
Female-20-44 years,6720
Female-Less than 20 years,5523
"Black or African American, non-Hispanic",231
"Asian or Pacific Islander, non-Hispanic",420
Unknown,2611
Hispanic or Latino,2850
Other Race,6536
"White, non-Hispanic",16697
"American Indian or Alaska Native, non-Hispanic",26334
