Category,Graham
Total_doses_administered,45456
Total_people_one_dose,21517
Total_people_complete,18776
total_pouluation,21517
Male-65 years and older,2423
Male-55-64 years,1595
Male-45-54 years,1457
Male-20-44 years,3628
Male-Less than 20 years,1257
Female-65 years and older,2932
Female-55-64 years,1738
Female-45-54 years,1429
Female-20-44 years,3672
Female-Less than 20 years,1374
"Asian or Pacific Islander, non-Hispanic",86
"Black or African American, non-Hispanic",94
Other Race,1303
Hispanic or Latino,3886
Unknown,4147
"American Indian or Alaska Native, non-Hispanic",5449
"White, non-Hispanic",6552
