Category,Cochise
Total_doses_administered,169184
Total_people_one_dose,82976
Total_people_complete,67766
total_pouluation,82976
Male-65 years and older,11431
Male-55-64 years,5649
Male-45-54 years,4427
Male-20-44 years,11854
Male-Less than 20 years,5774
Female-65 years and older,13381
Female-55-64 years,6675
Female-45-54 years,4968
Female-20-44 years,12577
Female-Less than 20 years,6138
"American Indian or Alaska Native, non-Hispanic",368
"Asian or Pacific Islander, non-Hispanic",1512
"Black or African American, non-Hispanic",1613
Unknown,9926
Other Race,12053
Hispanic or Latino,23916
"White, non-Hispanic",33588
