Category,Santa Cruz
Total_doses_administered,113014
Total_people_one_dose,57685
Total_people_complete,44862
total_pouluation,57685
Male-65 years and older,4810
Male-55-64 years,3335
Male-45-54 years,3489
Male-20-44 years,9232
Male-Less than 20 years,6719
Female-65 years and older,5811
Female-55-64 years,3662
Female-45-54 years,3793
Female-20-44 years,9680
Female-Less than 20 years,7068
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",187
Other Race,3572
Unknown,3924
"White, non-Hispanic",7719
Hispanic or Latino,42165
