Category,Coconino
Total_doses_administered,210313
Total_people_one_dose,96110
Total_people_complete,82386
total_pouluation,96110
Male-65 years and older,9524
Male-55-64 years,6416
Male-45-54 years,5882
Male-20-44 years,17429
Male-Less than 20 years,6362
Female-65 years and older,10704
Female-55-64 years,7202
Female-45-54 years,5925
Female-20-44 years,19807
Female-Less than 20 years,6588
"Black or African American, non-Hispanic",796
"Asian or Pacific Islander, non-Hispanic",1679
Hispanic or Latino,7363
Other Race,8770
Unknown,12548
"American Indian or Alaska Native, non-Hispanic",23026
"White, non-Hispanic",41928
