Category,La Paz
Total_doses_administered,18435
Total_people_one_dose,9096
Total_people_complete,7570
total_pouluation,9096
Male-65 years and older,2460
Male-55-64 years,627
Male-45-54 years,328
Male-20-44 years,689
Male-Less than 20 years,381
Female-65 years and older,2476
Female-55-64 years,748
Female-45-54 years,380
Female-20-44 years,608
Female-Less than 20 years,380
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",546
Other Race,1196
Hispanic or Latino,1356
Unknown,1863
"White, non-Hispanic",4005
