Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9944100,63089,210313,169184,45456,9712,57345,18435,5746345,190229,102553,531552,1618411,113014,253012,322094
Total_people_complete,3971982,22983,82386,67766,18776,3834,23114,7570,2322429,77153,40956,222055,632763,44862,99978,128290
total_pouluation,7189020,30107,96110,82976,21517,4436,26461,9096,2688608,91750,50043,256624,743652,57685,119091,161150
Total_people_one_dose,4732844,30107,96110,82976,21517,4436,26461,9096,2688608,91750,50043,256624,743652,57685,119091,161150
Male-65 years and older,575583,2829,9524,11431,2423,518,5886,2460,288914,21300,7432,37593,93013,4810,26265,17292
Male-55-64 years,334597,2066,6416,5649,1595,376,2238,627,190897,8382,3616,18670,48854,3335,9318,10746
Male-45-54 years,301968,1661,5882,4427,1457,330,1271,328,185274,4361,2759,17068,42264,3489,5139,9341
Male-20-44 years,752265,3981,17429,11854,3628,799,2452,689,444960,7694,5939,38950,113524,9232,10422,28535
Male-Less than 20 years,275569,4177,6362,5774,1257,232,776,381,154535,1893,4522,13225,46404,6719,3028,12824
Female-65 years and older,699370,3402,10704,13381,2932,520,6281,2476,360851,23371,8354,43160,119597,5811,31960,19841
Female-55-64 years,380176,2215,7202,6675,1738,318,2629,748,214496,9708,4145,21020,58456,3662,11714,11487
Female-45-54 years,324904,1630,5925,4968,1429,329,1403,380,200653,4906,2758,17341,47808,3793,6098,10269
Female-20-44 years,786276,3883,19807,12577,3672,770,2621,608,476153,7871,5836,35841,124778,9680,10681,26897
Female-Less than 20 years,282219,4254,6588,6138,1374,242,846,380,157449,2084,4645,13012,47485,7068,3318,13301
"Black or African American, non-Hispanic",143733,59,796,1613,94,53,92,41,104802,631,206,9420,17000,61,581,849
"Asian or Pacific Islander, non-Hispanic",181161,136,1679,1512,86,43,209,89,136617,1398,372,5240,22510,187,1475,1246
"American Indian or Alaska Native, non-Hispanic",204437,23311,23026,368,5449,125,2756,546,52734,762,21903,10081,15651,57,1453,1190
Unknown,430353,1174,12548,9926,4147,317,4583,1863,181096,11647,2407,30201,66127,3924,18641,29850
Other Race,674923,1164,8770,12053,1303,96,4209,1196,432060,14566,6373,31512,92483,3572,17492,19525
Hispanic or Latino,887994,583,7363,23916,3886,2003,1475,1356,456302,7411,2555,41706,183066,42165,8343,72779
"White, non-Hispanic",2210243,3680,41928,33588,6552,1799,13137,4005,1324997,55335,16227,128464,346815,7719,71106,35711
