Category,Mohave
Total_doses_administered,190229
Total_people_one_dose,91750
Total_people_complete,77153
total_pouluation,91750
Male-65 years and older,21300
Male-55-64 years,8382
Male-45-54 years,4361
Male-20-44 years,7694
Male-Less than 20 years,1893
Female-65 years and older,23371
Female-55-64 years,9708
Female-45-54 years,4906
Female-20-44 years,7871
Female-Less than 20 years,2084
"Black or African American, non-Hispanic",631
"American Indian or Alaska Native, non-Hispanic",762
"Asian or Pacific Islander, non-Hispanic",1398
Hispanic or Latino,7411
Unknown,11647
Other Race,14566
"White, non-Hispanic",55335
