Category,Yuma
Total_doses_administered,322094
Total_people_one_dose,161150
Total_people_complete,128290
total_pouluation,161150
Male-65 years and older,17292
Male-55-64 years,10746
Male-45-54 years,9341
Male-20-44 years,28535
Male-Less than 20 years,12824
Female-65 years and older,19841
Female-55-64 years,11487
Female-45-54 years,10269
Female-20-44 years,26897
Female-Less than 20 years,13301
"Black or African American, non-Hispanic",849
"American Indian or Alaska Native, non-Hispanic",1190
"Asian or Pacific Islander, non-Hispanic",1246
Other Race,19525
Unknown,29850
"White, non-Hispanic",35711
Hispanic or Latino,72779
