,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2873618,750077,11982,48200,81148,25550,9510,6650,9682,1079607,56009,29559,403165,122841,22961,104561,76970
Total_people_one_dose,1812246,490247,7154,32266,49989,16268,5803,3782,6074,680291,38252,19212,255403,78956,14446,62031,52072
Total_people_complete,1124028,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,491743,,,,,,,,,,,,,,,,
55-64 years,200148,,,,,,,,,,,,,,,,
45-54 years,106521,,,,,,,,,,,,,,,,
20-44 years,220628,,,,,,,,,,,,,,,,
Less than 20 years,9679,,,,,,,,,,,,,,,,
65 years and older,62031,,,,,,,,,,,,,,,,
55-64 years,154586,,,,,,,,,,,,,,,,
45-54 years,74657,,,,,,,,,,,,,,,,
20-44 years,148022,,,,,,,,,,,,,,,,
Less than 20 years,6450,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",32641,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",49134,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",50083,,,,,,,,,,,,,,,,
Hispanic or Latino,169864,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",273077,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",337877,,,,,,,,,,,,,,,,
"White, non-Hispanic",900226,,,,,,,,,,,,,,,,
