Category,La Paz
Total_doses_administered,19057
Total_people_one_dose,9308
Total_people_complete,7738
total_pouluation,9308
Male-65 years and older,2521
Male-55-64 years,652
Male-45-54 years,333
Male-20-44 years,714
Male-Less than 20 years,415
Female-65 years and older,2492
Female-55-64 years,762
Female-45-54 years,387
Female-20-44 years,628
Female-Less than 20 years,386
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",567
Other Race,1209
Hispanic or Latino,1404
Unknown,1935
"White, non-Hispanic",4059
