Category,Mohave
Total_doses_administered,201808
Total_people_one_dose,94744
Total_people_complete,79919
total_pouluation,94744
Male-65 years and older,21897
Male-55-64 years,8571
Male-45-54 years,4508
Male-20-44 years,8031
Male-Less than 20 years,2085
Female-65 years and older,23905
Female-55-64 years,9931
Female-45-54 years,5041
Female-20-44 years,8286
Female-Less than 20 years,2308
"Black or African American, non-Hispanic",673
"American Indian or Alaska Native, non-Hispanic",790
"Asian or Pacific Islander, non-Hispanic",1467
Hispanic or Latino,7887
Unknown,11706
Other Race,14843
"White, non-Hispanic",57378
