Category,Maricopa
Total_doses_administered,6251022
Total_people_one_dose,2825366
Total_people_complete,2478652
total_pouluation,2825366
Male-65 years and older,298675
Male-55-64 years,197426
Male-45-54 years,193074
Male-20-44 years,466532
Male-Less than 20 years,176617
Female-65 years and older,372678
Female-55-64 years,221214
Female-45-54 years,208589
Female-20-44 years,498247
Female-Less than 20 years,178008
"American Indian or Alaska Native, non-Hispanic",55467
"Black or African American, non-Hispanic",111746
"Asian or Pacific Islander, non-Hispanic",144216
Unknown,191353
Other Race,444528
Hispanic or Latino,495160
"White, non-Hispanic",1382896
