Category,Santa Cruz
Total_doses_administered,128538
Total_people_one_dose,65505
Total_people_complete,49630
total_pouluation,65505
Male-65 years and older,4804
Male-55-64 years,3540
Male-45-54 years,3794
Male-20-44 years,9986
Male-Less than 20 years,9304
Female-65 years and older,5864
Female-55-64 years,3989
Female-45-54 years,4204
Female-20-44 years,10679
Female-Less than 20 years,9231
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3671
Unknown,6153
"White, non-Hispanic",7656
Hispanic or Latino,47722
