Category,Cochise
Total_doses_administered,190041
Total_people_one_dose,90843
Total_people_complete,75107
total_pouluation,90843
Male-65 years and older,12028
Male-55-64 years,6020
Male-45-54 years,4812
Male-20-44 years,12966
Male-Less than 20 years,7180
Female-65 years and older,14043
Female-55-64 years,7105
Female-45-54 years,5402
Female-20-44 years,13730
Female-Less than 20 years,7454
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1591
"Black or African American, non-Hispanic",1702
Unknown,10992
Other Race,12721
Hispanic or Latino,28242
"White, non-Hispanic",35207
