Category,Arizona
Total_doses_administered,10722126
Total_people_complete,4206024
total_pouluation,7189020
Total_people_one_dose,4945911
Male-65 years and older,591473
Male-55-64 years,343509
Male-45-54 years,311578
Male-20-44 years,785174
Male-Less than 20 years,313282
Female-65 years and older,717514
Female-55-64 years,390150
Female-45-54 years,335320
Female-20-44 years,820212
Female-Less than 20 years,317822
"Black or African American, non-Hispanic",152178
"Asian or Pacific Islander, non-Hispanic",190220
"American Indian or Alaska Native, non-Hispanic",221609
Unknown,444907
Other Race,691191
Hispanic or Latino,963739
"White, non-Hispanic",2282067
