Category,Apache
Total_doses_administered,76188
Total_people_one_dose,34178
Total_people_complete,29052
total_pouluation,34178
Male-65 years and older,3093
Male-55-64 years,2293
Male-45-54 years,1860
Male-20-44 years,4609
Male-Less than 20 years,4733
Female-65 years and older,3752
Female-55-64 years,2517
Female-45-54 years,1918
Female-20-44 years,4546
Female-Less than 20 years,4846
"Black or African American, non-Hispanic",66
"Asian or Pacific Islander, non-Hispanic",158
Hispanic or Latino,650
Unknown,1220
Other Race,1237
"White, non-Hispanic",3904
"American Indian or Alaska Native, non-Hispanic",26943
