Category,Navajo
Total_doses_administered,120210
Total_people_one_dose,55419
Total_people_complete,47022
total_pouluation,55419
Male-65 years and older,7764
Male-55-64 years,3927
Male-45-54 years,3011
Male-20-44 years,6822
Male-Less than 20 years,5423
Female-65 years and older,8803
Female-55-64 years,4439
Female-45-54 years,3040
Female-20-44 years,6691
Female-Less than 20 years,5461
"Black or African American, non-Hispanic",227
"Asian or Pacific Islander, non-Hispanic",418
Unknown,2594
Hispanic or Latino,2815
Other Race,6527
"White, non-Hispanic",16642
"American Indian or Alaska Native, non-Hispanic",26196
