Category,Graham
Total_doses_administered,42520
Total_people_one_dose,19235
Total_people_complete,17099
total_pouluation,19235
Male-65 years and older,1996
Male-55-64 years,1366
Male-45-54 years,1315
Male-20-44 years,3269
Male-Less than 20 years,1310
Female-65 years and older,2476
Female-55-64 years,1511
Female-45-54 years,1245
Female-20-44 years,3307
Female-Less than 20 years,1429
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,868
Hispanic or Latino,2861
Unknown,3827
"White, non-Hispanic",5673
"American Indian or Alaska Native, non-Hispanic",5857
