Category,Arizona
Total_doses_administered,10814158
Total_people_complete,4231542
total_pouluation,7189020
Total_people_one_dose,4967114
Male-65 years and older,593131
Male-55-64 years,344244
Male-45-54 years,312483
Male-20-44 years,788742
Male-Less than 20 years,316803
Female-65 years and older,719478
Female-55-64 years,390876
Female-45-54 years,336288
Female-20-44 years,823974
Female-Less than 20 years,321201
"Black or African American, non-Hispanic",153085
"Asian or Pacific Islander, non-Hispanic",190947
"American Indian or Alaska Native, non-Hispanic",223860
Unknown,446455
Other Race,693277
Hispanic or Latino,971370
"White, non-Hispanic",2288120
