Category,Coconino
Total_doses_administered,214128
Total_people_one_dose,94209
Total_people_complete,83346
total_pouluation,94209
Male-65 years and older,8467
Male-55-64 years,6060
Male-45-54 years,5796
Male-20-44 years,17621
Male-Less than 20 years,6908
Female-65 years and older,9470
Female-55-64 years,6741
Female-45-54 years,5776
Female-20-44 years,20096
Female-Less than 20 years,7095
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1735
Hispanic or Latino,7664
Other Race,8081
Unknown,11326
"American Indian or Alaska Native, non-Hispanic",24146
"White, non-Hispanic",40426
