Category,Apache
Total_doses_administered,78248
Total_people_one_dose,34891
Total_people_complete,29922
total_pouluation,34891
Male-65 years and older,3128
Male-55-64 years,2338
Male-45-54 years,1907
Male-20-44 years,4818
Male-Less than 20 years,4775
Female-65 years and older,3797
Female-55-64 years,2548
Female-45-54 years,1958
Female-20-44 years,4728
Female-Less than 20 years,4883
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",164
Hispanic or Latino,659
Unknown,1229
Other Race,1247
"White, non-Hispanic",3931
"American Indian or Alaska Native, non-Hispanic",27590
