Category,Cochise
Total_doses_administered,191758
Total_people_one_dose,91374
Total_people_complete,75579
total_pouluation,91374
Male-65 years and older,12052
Male-55-64 years,6030
Male-45-54 years,4828
Male-20-44 years,13045
Male-Less than 20 years,7291
Female-65 years and older,14076
Female-55-64 years,7118
Female-45-54 years,5428
Female-20-44 years,13827
Female-Less than 20 years,7574
"American Indian or Alaska Native, non-Hispanic",393
"Asian or Pacific Islander, non-Hispanic",1598
"Black or African American, non-Hispanic",1712
Unknown,11087
Other Race,12737
Hispanic or Latino,28563
"White, non-Hispanic",35284
