,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3427574,947609,13141,56962,95526,32848,11643,7094,11114,1257220,68651,33791,472794,146619,27531,114207,94154
Total_people_one_dose,2166000,617756,7765,37588,56263,20253,7249,4078,7061,787861,46517,21558,306146,93472,17719,69818,64896
Total_people_complete,1355132,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,521333,,,,,,,,,,,,,,,,
55-64 years,236414,,,,,,,,,,,,,,,,
45-54 years,141201,,,,,,,,,,,,,,,,
20-44 years,288276,,,,,,,,,,,,,,,,
Less than 20 years,20633,,,,,,,,,,,,,,,,
65 years and older,306146,,,,,,,,,,,,,,,,
55-64 years,189643,,,,,,,,,,,,,,,,
45-54 years,109637,,,,,,,,,,,,,,,,
20-44 years,218905,,,,,,,,,,,,,,,,
Less than 20 years,15865,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",41683,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",56446,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",68041,,,,,,,,,,,,,,,,
Hispanic or Latino,223831,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",312345,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",393626,,,,,,,,,,,,,,,,
"White, non-Hispanic",1071207,,,,,,,,,,,,,,,,
