Category,Maricopa
Total_doses_administered,5866176
Total_people_one_dose,2721328
Total_people_complete,2337944
total_pouluation,2721328
Male-65 years and older,291651
Male-55-64 years,192407
Male-45-54 years,186892
Male-20-44 years,449947
Male-Less than 20 years,159579
Female-65 years and older,364293
Female-55-64 years,216188
Female-45-54 years,202310
Female-20-44 years,481421
Female-Less than 20 years,162268
"American Indian or Alaska Native, non-Hispanic",53413
"Black or African American, non-Hispanic",106640
"Asian or Pacific Islander, non-Hispanic",138615
Unknown,183032
Other Race,435326
Hispanic or Latino,465700
"White, non-Hispanic",1338602
