Category,La Paz
Total_doses_administered,18754
Total_people_one_dose,9220
Total_people_complete,7605
total_pouluation,9220
Male-65 years and older,2497
Male-55-64 years,647
Male-45-54 years,333
Male-20-44 years,698
Male-Less than 20 years,389
Female-65 years and older,2489
Female-55-64 years,758
Female-45-54 years,387
Female-20-44 years,621
Female-Less than 20 years,382
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",549
Other Race,1210
Hispanic or Latino,1380
Unknown,1901
"White, non-Hispanic",4046
