Category,Greenlee
Total_doses_administered,9846
Total_people_one_dose,4454
Total_people_complete,3855
total_pouluation,4454
Male-65 years and older,519
Male-55-64 years,376
Male-45-54 years,332
Male-20-44 years,804
Male-Less than 20 years,233
Female-65 years and older,520
Female-55-64 years,319
Female-45-54 years,330
Female-20-44 years,775
Female-Less than 20 years,244
"Asian or Pacific Islander, non-Hispanic",46
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",125
Unknown,308
"White, non-Hispanic",1806
Hispanic or Latino,2020
