Category,Apache
Total_doses_administered,64642
Total_people_one_dose,30641
Total_people_complete,23154
total_pouluation,30641
Male-65 years and older,2865
Male-55-64 years,2084
Male-45-54 years,1687
Male-20-44 years,4044
Male-Less than 20 years,4299
Female-65 years and older,3435
Female-55-64 years,2241
Female-45-54 years,1663
Female-20-44 years,3933
Female-Less than 20 years,4380
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",138
Hispanic or Latino,602
Other Race,1176
Unknown,1183
"White, non-Hispanic",3704
"American Indian or Alaska Native, non-Hispanic",23778
