Category,Mohave
Total_doses_administered,193562
Total_people_one_dose,92731
Total_people_complete,77719
total_pouluation,92731
Male-65 years and older,21487
Male-55-64 years,8454
Male-45-54 years,4402
Male-20-44 years,7811
Male-Less than 20 years,1952
Female-65 years and older,23567
Female-55-64 years,9774
Female-45-54 years,4952
Female-20-44 years,7996
Female-Less than 20 years,2156
"Black or African American, non-Hispanic",648
"American Indian or Alaska Native, non-Hispanic",773
"Asian or Pacific Islander, non-Hispanic",1420
Hispanic or Latino,7571
Unknown,11684
Other Race,14662
"White, non-Hispanic",55973
