Category,Santa Cruz
Total_doses_administered,116916
Total_people_one_dose,59183
Total_people_complete,45306
total_pouluation,59183
Male-65 years and older,4876
Male-55-64 years,3408
Male-45-54 years,3560
Male-20-44 years,9398
Male-Less than 20 years,7075
Female-65 years and older,5891
Female-55-64 years,3763
Female-45-54 years,3884
Female-20-44 years,9866
Female-Less than 20 years,7374
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",190
Other Race,3615
Unknown,4251
"White, non-Hispanic",7835
Hispanic or Latino,43174
