Category,Arizona
Total_doses_administered,10161546
Total_people_complete,4000527
total_pouluation,7189020
Total_people_one_dose,4797804
Male-65 years and older,581985
Male-55-64 years,337811
Male-45-54 years,305024
Male-20-44 years,761899
Male-Less than 20 years,284623
Female-65 years and older,707024
Female-55-64 years,383882
Female-45-54 years,328252
Female-20-44 years,796525
Female-Less than 20 years,290887
"Black or African American, non-Hispanic",146427
"Asian or Pacific Islander, non-Hispanic",184078
"American Indian or Alaska Native, non-Hispanic",208024
Unknown,433420
Other Race,681316
Hispanic or Latino,907547
"White, non-Hispanic",2236992
