Category,Yuma
Total_doses_administered,329168
Total_people_one_dose,163683
Total_people_complete,129150
total_pouluation,163683
Male-65 years and older,17579
Male-55-64 years,10888
Male-45-54 years,9430
Male-20-44 years,28889
Male-Less than 20 years,13193
Female-65 years and older,20140
Female-55-64 years,11659
Female-45-54 years,10374
Female-20-44 years,27261
Female-Less than 20 years,13644
"Black or African American, non-Hispanic",860
"American Indian or Alaska Native, non-Hispanic",1203
"Asian or Pacific Islander, non-Hispanic",1260
Other Race,19777
Unknown,30127
"White, non-Hispanic",36386
Hispanic or Latino,74070
