Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10161546,64642,214794,173634,46599,9846,58478,18754,5866176,193562,104878,542198,1655244,116916,257531,329168
Total_people_complete,4000527,23154,82841,68424,18941,3855,23281,7605,2337944,77719,41341,223619,636832,45306,100730,129150
total_pouluation,7189020,30641,97189,84303,21785,4454,26798,9220,2721328,92731,50794,259788,753910,59183,120304,163683
Total_people_one_dose,4797804,30641,97189,84303,21785,4454,26798,9220,2721328,92731,50794,259788,753910,59183,120304,163683
Male-65 years and older,581985,2865,9583,11531,2440,519,5932,2497,291651,21487,7522,37922,93875,4876,26527,17579
Male-55-64 years,337811,2084,6468,5696,1610,376,2256,647,192407,8454,3656,18792,49312,3408,9385,10888
Male-45-54 years,305024,1687,5917,4501,1465,332,1284,333,186892,4402,2795,17193,42758,3560,5177,9430
Male-20-44 years,761899,4044,17617,12041,3669,804,2500,698,449947,7811,6047,39432,115017,9398,10587,28889
Male-Less than 20 years,284623,4299,6552,5994,1318,233,828,389,159579,1952,4625,13701,47892,7075,3095,13193
Female-65 years and older,707024,3435,10777,13502,2946,520,6323,2489,364293,23567,8447,43533,120739,5891,32226,20140
Female-55-64 years,383882,2241,7246,6760,1748,319,2650,758,216188,9774,4184,21228,58978,3763,11818,11659
Female-45-54 years,328252,1663,5960,5062,1431,330,1416,387,202310,4952,2799,17518,48374,3884,6151,10374
Female-20-44 years,796525,3933,20019,12764,3711,775,2665,621,481421,7996,5936,36267,126520,9866,10814,27261
Female-Less than 20 years,290887,4380,6779,6350,1435,244,886,382,162268,2156,4745,13461,48963,7374,3379,13644
"Black or African American, non-Hispanic",146427,60,811,1640,97,53,97,42,106640,648,212,9577,17331,61,598,860
"Asian or Pacific Islander, non-Hispanic",184078,138,1738,1526,88,46,212,92,138615,1420,376,5341,22813,190,1500,1260
"American Indian or Alaska Native, non-Hispanic",208024,23778,23318,374,5535,125,2817,549,53413,773,22312,10319,15912,57,1471,1203
Unknown,433420,1183,12414,10113,4155,308,4576,1901,183032,11684,2457,30313,65871,4251,18515,30127
Other Race,681316,1176,8858,12186,1320,96,4303,1210,435326,14662,6409,31813,93487,3615,17666,19777
Hispanic or Latino,907547,602,7565,24572,3944,2020,1508,1380,465700,7571,2631,42421,187542,43174,8503,74070
"White, non-Hispanic",2236992,3704,42485,33892,6646,1806,13285,4046,1338602,55973,16397,130004,350954,7835,72051,36386
