Category,Coconino
Total_doses_administered,214794
Total_people_one_dose,97189
Total_people_complete,82841
total_pouluation,97189
Male-65 years and older,9583
Male-55-64 years,6468
Male-45-54 years,5917
Male-20-44 years,17617
Male-Less than 20 years,6552
Female-65 years and older,10777
Female-55-64 years,7246
Female-45-54 years,5960
Female-20-44 years,20019
Female-Less than 20 years,6779
"Black or African American, non-Hispanic",811
"Asian or Pacific Islander, non-Hispanic",1738
Hispanic or Latino,7565
Other Race,8858
Unknown,12414
"American Indian or Alaska Native, non-Hispanic",23318
"White, non-Hispanic",42485
