Category,Yavapai
Total_doses_administered,257531
Total_people_one_dose,120304
Total_people_complete,100730
total_pouluation,120304
Male-65 years and older,26527
Male-55-64 years,9385
Male-45-54 years,5177
Male-20-44 years,10587
Male-Less than 20 years,3095
Female-65 years and older,32226
Female-55-64 years,11818
Female-45-54 years,6151
Female-20-44 years,10814
Female-Less than 20 years,3379
"Black or African American, non-Hispanic",598
"American Indian or Alaska Native, non-Hispanic",1471
"Asian or Pacific Islander, non-Hispanic",1500
Hispanic or Latino,8503
Other Race,17666
Unknown,18515
"White, non-Hispanic",72051
