Category,Cochise
Total_doses_administered,173634
Total_people_one_dose,84303
Total_people_complete,68424
total_pouluation,84303
Male-65 years and older,11531
Male-55-64 years,5696
Male-45-54 years,4501
Male-20-44 years,12041
Male-Less than 20 years,5994
Female-65 years and older,13502
Female-55-64 years,6760
Female-45-54 years,5062
Female-20-44 years,12764
Female-Less than 20 years,6350
"American Indian or Alaska Native, non-Hispanic",374
"Asian or Pacific Islander, non-Hispanic",1526
"Black or African American, non-Hispanic",1640
Unknown,10113
Other Race,12186
Hispanic or Latino,24572
"White, non-Hispanic",33892
