date,Intubations_covid
2021-10-10,57
2021-10-09,56
2021-10-08,74
2021-10-07,53
2021-10-06,73
2021-10-05,73
2021-10-04,75
2021-10-03,64
2021-10-02,66
2021-10-01,75
2021-09-30,73
2021-09-29,70
2021-09-28,74
2021-09-27,75
2021-09-26,60
2021-09-25,83
2021-09-24,77
2021-09-23,72
2021-09-22,84
2021-09-21,86
2021-09-20,94
2021-09-19,70
2021-09-18,66
2021-09-17,80
2021-09-16,78
2021-09-15,74
2021-09-14,69
2021-09-13,70
2021-09-12,77
2021-09-11,81
2021-09-10,83
2021-09-09,85
2021-09-08,84
2021-09-07,69
2021-09-06,75
2021-09-05,70
2021-09-04,75
2021-09-03,68
2021-09-02,79
2021-09-01,75
2021-08-31,66
2021-08-30,75
2021-08-29,80
2021-08-28,87
2021-08-27,76
2021-08-26,72
2021-08-25,81
2021-08-24,89
2021-08-23,69
2021-08-22,74
2021-08-21,76
2021-08-20,59
2021-08-19,67
2021-08-18,86
2021-08-17,64
2021-08-16,60
2021-08-15,65
2021-08-14,59
2021-08-13,66
2021-08-12,55
2021-08-11,71
2021-08-10,72
2021-08-09,60
2021-08-08,58
2021-08-07,55
2021-08-06,71
2021-08-05,62
2021-08-04,56
2021-08-03,65
2021-08-02,56
2021-08-01,51
2021-07-31,65
2021-07-30,53
2021-07-29,58
2021-07-28,58
2021-07-27,54
2021-07-26,51
2021-07-25,63
2021-07-24,73
2021-07-23,54
2021-07-22,56
2021-07-21,60
2021-07-20,62
2021-07-19,54
2021-07-18,56
2021-07-17,57
2021-07-16,60
2021-07-15,65
2021-07-14,72
2021-07-13,56
2021-07-12,56
2021-07-11,58
2021-07-10,60
2021-07-09,53
2021-07-08,67
2021-07-07,60
2021-07-06,50
2021-07-05,57
2021-07-04,52
2021-07-03,59
2021-07-02,60
2021-07-01,47
2021-06-30,56
2021-06-29,49
2021-06-28,45
2021-06-27,52
2021-06-26,37
2021-06-25,66
2021-06-24,47
2021-06-23,58
2021-06-22,54
2021-06-21,54
2021-06-20,53
2021-06-19,59
2021-06-18,57
2021-06-17,52
2021-06-16,45
2021-06-15,59
2021-06-14,54
2021-06-13,58
2021-06-12,67
2021-06-11,53
2021-06-10,62
2021-06-09,60
2021-06-08,47
2021-06-07,55
2021-06-06,42
2021-06-05,53
2021-06-04,50
2021-06-03,55
2021-06-02,56
2021-06-01,61
2021-05-31,59
2021-05-30,63
2021-05-29,64
2021-05-28,51
2021-05-27,62
2021-05-26,67
2021-05-25,53
2021-05-24,55
2021-05-23,43
2021-05-22,53
2021-05-21,62
2021-05-20,61
2021-05-19,37
2021-05-18,56
2021-05-17,44
2021-05-16,40
2021-05-15,42
2021-05-14,41
2021-05-13,41
2021-05-12,45
2021-05-11,46
2021-05-10,38
2021-05-09,43
2021-05-08,53
2021-05-07,55
2021-05-06,53
2021-05-05,56
2021-05-04,52
2021-05-03,57
2021-05-02,48
2021-05-01,46
2021-04-30,49
2021-04-29,51
2021-04-28,48
2021-04-27,44
2021-04-26,52
2021-04-25,57
2021-04-24,66
2021-04-23,45
2021-04-22,65
2021-04-21,43
2021-04-20,49
2021-04-19,47
2021-04-18,40
2021-04-17,80
2021-04-16,64
2021-04-15,68
2021-04-14,67
2021-04-13,43
2021-04-12,55
2021-04-11,53
2021-04-10,50
2021-04-09,47
2021-04-08,61
2021-04-07,45
2021-04-06,47
2021-04-05,59
2021-04-04,38
2021-04-03,53
2021-04-02,59
2021-04-01,62
2021-03-31,56
2021-03-30,44
2021-03-28,43
2021-03-27,50
2021-03-26,67
2021-03-25,56
2021-03-24,54
2021-03-23,47
2021-03-22,56
2021-03-21,67
2021-03-20,46
2021-03-19,57
2021-03-18,45
2021-03-17,54
2021-03-16,49
2021-03-15,52
2021-03-14,52
2021-03-13,50
2021-03-12,56
2021-03-11,52
2021-03-10,69
2021-03-09,58
2021-03-08,36
2021-03-07,68
2021-03-06,67
2021-03-05,53
2021-03-04,56
2021-03-03,73
2021-03-02,59
2021-03-01,74
2021-02-28,45
2021-02-27,64
2021-02-26,64
2021-02-25,76
2021-02-24,67
2021-02-23,68
2021-02-22,61
2021-02-21,58
2021-02-20,63
2021-02-19,62
2021-02-18,74
2021-02-17,56
2021-02-16,60
2021-02-15,60
2021-02-14,68
2021-02-13,76
2021-02-12,75
2021-02-11,86
2021-02-10,78
2021-02-09,84
2021-02-08,73
2021-02-07,82
2021-02-06,89
2021-02-05,84
2021-02-04,93
2021-02-03,77
2021-02-02,100
2021-02-01,92
2021-01-31,105
2021-01-30,98
2021-01-29,91
2021-01-28,110
2021-01-27,110
2021-01-26,123
2021-01-25,115
2021-01-24,106
2021-01-23,106
2021-01-22,104
2021-01-21,105
2021-01-20,108
2021-01-19,94
2021-01-18,121
2021-01-17,98
2021-01-16,115
2021-01-15,137
2021-01-14,109
