Category,Graham
Total_doses_administered,24272
Total_people_one_dose,13480
Total_people_complete,12058
Total_doses_ordered,21940
total_pouluation,38476
Male-65 years and older,1734
Male-55-64 years,1056
Male-45-54 years,969
Male-20-44 years,2327
Male-Less than 20 years,508
Female-65 years and older,2192
Female-55-64 years,1217
Female-45-54 years,888
Female-20-44 years,1985
Female-Less than 20 years,592
"Asian or Pacific Islander, non-Hispanic",71
"Black or African American, non-Hispanic",80
Other Race,1019
"American Indian or Alaska Native, non-Hispanic",1137
Hispanic or Latino,2239
Unknown,4237
"White, non-Hispanic",4697
