Category,Yavapai
Total_doses_administered,201459
Total_people_one_dose,114865
Total_people_complete,97002
Total_doses_ordered,177046
total_pouluation,232386
Male-65 years and older,24915
Male-55-64 years,8872
Male-45-54 years,5279
Male-20-44 years,10527
Male-Less than 20 years,2263
Female-65 years and older,31021
Female-55-64 years,11301
Female-45-54 years,6144
Female-20-44 years,10698
Female-Less than 20 years,2528
"Black or African American, non-Hispanic",645
"American Indian or Alaska Native, non-Hispanic",1205
"Asian or Pacific Islander, non-Hispanic",1507
Hispanic or Latino,7491
Other Race,17723
Unknown,27914
"White, non-Hispanic",58380
