Category,Apache
Total_doses_administered,36274
Total_people_one_dose,20510
Total_people_complete,13487
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2147
Male-55-64 years,1449
Male-45-54 years,1138
Male-20-44 years,2784
Male-Less than 20 years,2619
Female-65 years and older,2332
Female-55-64 years,1595
Female-45-54 years,1165
Female-20-44 years,2601
Female-Less than 20 years,2670
"Asian or Pacific Islander, non-Hispanic",181
"Black or African American, non-Hispanic",311
Unknown,1083
Other Race,1346
Hispanic or Latino,2036
"White, non-Hispanic",3491
"American Indian or Alaska Native, non-Hispanic",12062
