Category,Arizona
Total_doses_administered,7872358
Total_people_complete,3776883
Total_doses_ordered,5445296
total_pouluation,7189020
Total_people_one_dose,4266787
Male-65 years and older,559643
Male-55-64 years,312888
Male-45-54 years,277566
Male-20-44 years,672632
Male-Less than 20 years,180271
Female-65 years and older,686127
Female-55-64 years,359516
Female-45-54 years,302622
Female-20-44 years,707298
Female-Less than 20 years,188349
"Black or African American, non-Hispanic",119788
"American Indian or Alaska Native, non-Hispanic",128798
"Asian or Pacific Islander, non-Hispanic",156770
Unknown,449952
Other Race,712163
Hispanic or Latino,736020
"White, non-Hispanic",1963296
