Category,Coconino
Total_doses_administered,160712
Total_people_one_dose,87705
Total_people_complete,78533
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8391
Male-55-64 years,6273
Male-45-54 years,5677
Male-20-44 years,17436
Male-Less than 20 years,3501
Female-65 years and older,9481
Female-55-64 years,6970
Female-45-54 years,5821
Female-20-44 years,19916
Female-Less than 20 years,4142
"Black or African American, non-Hispanic",668
"Asian or Pacific Islander, non-Hispanic",1330
Hispanic or Latino,6499
Other Race,10057
Unknown,17217
"American Indian or Alaska Native, non-Hispanic",18292
"White, non-Hispanic",33642
