Category,Gila
Total_doses_administered,56828
Total_people_one_dose,30775
Total_people_complete,27490
Total_doses_ordered,39830
total_pouluation,55159
Male-65 years and older,6091
Male-55-64 years,2712
Male-45-54 years,1711
Male-20-44 years,3460
Male-Less than 20 years,873
Female-65 years and older,6438
Female-55-64 years,3027
Female-45-54 years,1802
Female-20-44 years,3605
Female-Less than 20 years,993
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",265
Hispanic or Latino,1427
Other Race,5076
Unknown,5582
"American Indian or Alaska Native, non-Hispanic",6326
"White, non-Hispanic",11999
